TOA5,CR1000_tower4_N,CR1000,73550,CR1000.Std.28,CPU:SH_Site4_North_3_09302016.CR1,41026,SapFlow,,,,,,
TIMESTAMP,RECORD,AVRD_Avg(1),AVRD_Avg(2),Sap_mV_Avg(1),Sap_mV_Avg(2),Sap_mV_Avg(3),Sap_mV_Avg(4),Sap_mV_Avg(5),Sap_mV_Avg(6),Sap_mV_Avg(7),Sap_mV_Avg(8),Sap_mV_Avg(9),Sap_mV_Avg(10)
TS,RN,,,,,,,,,,,,
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
9/30/16 14:00,0,1.484,1.499,0.165,0.135,0.163,0.198,0.143,0.121,0.111,0.126,0.1,0.116
9/30/16 14:15,1,2.967,2.997,0.33,0.271,0.325,0.395,0.285,0.243,0.223,0.252,0.202,0.232
9/30/16 14:30,2,2.97,3.002,0.329,0.273,0.325,0.396,0.286,0.242,0.224,0.252,0.202,0.232
9/30/16 14:45,3,2.97,2.998,0.331,0.274,0.325,0.396,0.287,0.244,0.225,0.253,0.202,0.233
9/30/16 15:00,4,2.971,2.997,0.33,0.273,0.325,0.395,0.287,0.241,0.225,0.254,0.202,0.233
9/30/16 15:15,5,2.97,2.997,0.33,0.271,0.324,0.395,0.286,0.24,0.224,0.253,0.201,0.233
9/30/16 15:30,6,2.97,2.997,0.33,0.269,0.324,0.395,0.287,0.241,0.225,0.253,0.201,0.233
9/30/16 15:45,7,2.97,2.998,0.33,0.268,0.324,0.394,0.288,0.241,0.225,0.253,0.202,0.232
9/30/16 16:00,8,2.97,2.997,0.33,0.269,0.324,0.394,0.289,0.241,0.226,0.254,0.203,0.233
9/30/16 16:15,9,2.97,2.997,0.331,0.27,0.323,0.393,0.289,0.241,0.227,0.254,0.204,0.233
9/30/16 16:30,10,2.97,2.997,0.331,0.269,0.323,0.393,0.289,0.241,0.229,0.255,0.207,0.233
9/30/16 16:45,11,2.97,2.997,0.33,0.268,0.323,0.393,0.29,0.242,0.231,0.255,0.209,0.233
9/30/16 17:00,12,2.97,2.997,0.33,0.267,0.323,0.392,0.29,0.242,0.233,0.255,0.21,0.234
9/30/16 17:15,13,2.97,2.997,0.329,0.266,0.322,0.39,0.291,0.243,0.235,0.255,0.21,0.234
9/30/16 17:30,14,2.97,2.998,0.329,0.265,0.322,0.39,0.292,0.244,0.237,0.256,0.211,0.233
9/30/16 17:45,15,2.971,2.998,0.328,0.265,0.322,0.389,0.292,0.245,0.239,0.256,0.214,0.234
9/30/16 18:00,16,2.971,2.998,0.328,0.264,0.321,0.388,0.292,0.246,0.24,0.256,0.216,0.234
9/30/16 18:15,17,2.971,2.998,0.327,0.264,0.322,0.387,0.293,0.246,0.241,0.256,0.219,0.233
9/30/16 18:30,18,2.971,2.998,0.327,0.263,0.321,0.387,0.293,0.247,0.243,0.256,0.22,0.233
9/30/16 18:45,19,2.971,2.998,0.327,0.263,0.322,0.386,0.294,0.247,0.244,0.256,0.221,0.233
9/30/16 19:00,20,2.971,2.998,0.326,0.263,0.321,0.385,0.293,0.248,0.244,0.256,0.223,0.233
9/30/16 19:15,21,2.971,2.998,0.326,0.263,0.321,0.384,0.293,0.248,0.245,0.255,0.223,0.233
9/30/16 19:30,22,2.971,2.998,0.325,0.262,0.322,0.383,0.294,0.249,0.246,0.255,0.224,0.232
9/30/16 19:45,23,2.971,2.998,0.325,0.262,0.322,0.383,0.295,0.25,0.246,0.256,0.224,0.232
9/30/16 20:00,24,2.971,2.998,0.324,0.262,0.322,0.382,0.295,0.25,0.247,0.255,0.224,0.233
9/30/16 20:15,25,2.971,2.998,0.324,0.262,0.322,0.381,0.296,0.251,0.247,0.256,0.225,0.232
9/30/16 20:30,26,2.971,2.998,0.323,0.262,0.322,0.38,0.296,0.251,0.248,0.256,0.225,0.232
9/30/16 20:45,27,2.971,2.998,0.323,0.261,0.323,0.379,0.296,0.251,0.249,0.256,0.226,0.232
9/30/16 21:00,28,2.971,2.998,0.322,0.262,0.323,0.378,0.296,0.252,0.248,0.255,0.226,0.232
9/30/16 21:15,29,2.971,2.998,0.322,0.262,0.323,0.378,0.296,0.252,0.248,0.256,0.227,0.232
9/30/16 21:30,30,2.971,2.998,0.321,0.262,0.324,0.377,0.297,0.253,0.248,0.256,0.227,0.232
9/30/16 21:45,31,2.971,2.998,0.32,0.262,0.324,0.376,0.297,0.253,0.249,0.256,0.227,0.232
9/30/16 22:00,32,2.971,2.998,0.32,0.262,0.325,0.376,0.297,0.254,0.25,0.255,0.227,0.232
9/30/16 22:15,33,2.971,2.998,0.32,0.262,0.324,0.375,0.297,0.254,0.25,0.256,0.228,0.232
9/30/16 22:30,34,2.971,2.998,0.32,0.261,0.325,0.375,0.297,0.254,0.251,0.255,0.228,0.232
9/30/16 22:45,35,2.971,2.998,0.32,0.261,0.325,0.374,0.297,0.255,0.251,0.255,0.229,0.231
9/30/16 23:00,36,2.971,2.998,0.32,0.261,0.326,0.374,0.298,0.254,0.251,0.255,0.228,0.232
9/30/16 23:15,37,2.971,2.998,0.32,0.261,0.326,0.373,0.297,0.255,0.251,0.255,0.229,0.232
9/30/16 23:30,38,2.971,2.998,0.319,0.261,0.326,0.373,0.297,0.255,0.25,0.255,0.229,0.232
9/30/16 23:45,39,2.971,2.998,0.319,0.261,0.326,0.372,0.297,0.255,0.251,0.255,0.23,0.232